scope,signal_date,execution_date,event_type,parameters,previous_offense,selected_offense,target_512890,target_offense,adjustment,orders,reason
历史样本外回测,2022-12-30,2023-01-03,初始建仓,L120 / W60 / W / 缓冲0.10,,510500,1.0,0.0,初始时512890目标100%，实际先建立防守仓；510500仅为影子进攻候选，目标权重0%,"买入512890 1,220,000份",非周频观察日，沿用中盘Beta/510500；512890信号100%（维持第二级满仓）
历史样本外回测,2023-02-06,2023-02-07,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,510500,512800,1.0,0.0,进攻仓为0%，仅更新影子候选为512800，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名金融得分0.811，领先原簇中盘Beta 0.128>缓冲0.100，切换资产簇；原ETF510500不在胜出簇，选512800；进攻腿相对512890动量+0.6%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2023-02-13,2023-02-14,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,512800,512690,1.0,0.0,进攻仓为0%，仅更新影子候选为512690，没有真实买卖进攻ETF,整手取整后无需成交,周频观察；簇第一名大消费得分0.800，领先原簇金融 0.122>缓冲0.100，切换资产簇；原ETF512800不在胜出簇，选512690；进攻腿相对512890动量+6.3%未达下限10.0%；512890信号100%（维持第二级满仓）
历史样本外回测,2023-03-03,2023-03-06,512890仓位调整,L120 / W60 / W / 缓冲0.10,512690,512690,0.0,1.0,进攻候选不变，512890状态机把防守仓从100%调到0%,"卖出512890 1,220,000份；买入512690 1,169,600份",非周频观察日，沿用大消费/512690；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2023-03-06,2023-03-07,512890仓位调整,L120 / W60 / W / 缓冲0.10,512690,512690,0.0,0.0,进攻候选不变，512890状态机把防守仓从0%调到0%,"卖出512690 1,169,600份",周频观察；簇第一名大消费得分0.772，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留512690；进攻腿相对512890动量+9.4%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-03-13,2023-03-14,512890仓位调整,L120 / W60 / W / 缓冲0.10,512690,512690,0.0,1.0,进攻候选不变，512890状态机把防守仓从0%调到0%,"买入512690 1,197,400份",周频观察；簇第一名大消费得分0.795，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留512690；进攻腿相对512890动量+23.4%达到下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-04-03,2023-04-04,进攻腿切换,L120 / W60 / W / 缓冲0.10,512690,512100,0.0,0.0,进攻腿由512690切到512100,"卖出512690 1,197,400份",周频观察；簇第一名小盘Beta得分0.870，领先原簇大消费 0.240>缓冲0.100，切换资产簇；原ETF512690不在胜出簇，选512100；进攻腿相对512890动量+6.8%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-04-17,2023-04-18,候选变更（零进攻仓）,L120 / W60 / W / 缓冲0.10,512100,515880,1.0,0.0,进攻仓为0%，仅更新影子候选为515880，没有真实买卖进攻ETF,"买入512890 1,180,100份",周频观察；簇第一名科技主题得分0.790，领先原簇小盘Beta 0.125>缓冲0.100，切换资产簇；原ETF512100不在胜出簇，选515880；进攻腿相对512890动量+7.1%未达下限10.0%；512890信号100%（连续接近复权新高；启动一次趋势奖金仓）
历史样本外回测,2023-05-04,2023-05-05,512890仓位调整,L120 / W60 / W / 缓冲0.10,515880,515880,0.0,0.0,进攻候选不变，512890状态机把防守仓从100%调到0%,"卖出512890 1,180,100份",周频观察；簇第一名大盘Beta得分0.770，第一名仅领先当前簇0.025≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+8.9%未达下限10.0%；512890信号0%（趋势奖金达到止盈并清仓）
历史样本外回测,2023-05-08,2023-05-09,512890仓位调整,L120 / W60 / W / 缓冲0.10,515880,515880,0.0,1.0,进攻候选不变，512890状态机把防守仓从0%调到0%,"买入515880 1,135,600份",周频观察；簇第一名科技主题得分0.765，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+12.9%达到下限10.0%；512890信号0%（保持现金等待回撤）
